"id","accession","organism","geographic_location","source_type","isolation_notes","collection_year","isolation_source","host","public_accession","project_accession","project_name","collected_by","sequenced_by","strain","attribute_package","isolate_name_alias","ifsac_category","serotype2","host_disease","collection_date","source_type_full"
155," SAMN16054341","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059280","environmental/food/other","AN0098","veterinary clinical/research",NA,NA,"2019-09-19","animal"
156," SAMN16054340","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059270","environmental/food/other","AN0104","veterinary clinical/research",NA,NA,"2019-10-15","animal"
157," SAMN16054339","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059281","environmental/food/other","AN0105","veterinary clinical/research",NA,NA,"2019-10-15","animal"
158," SAMN16054338","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059275","environmental/food/other","AN0090","veterinary clinical/research",NA,NA,"2019-09-02","animal"
159," SAMN16054337","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059278","environmental/food/other","AN0065","veterinary clinical/research",NA,NA,"2019-08-10","animal"
160," SAMN16054336","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059272","environmental/food/other","AN0070","veterinary clinical/research",NA,NA,"2019-07-31","animal"
161," SAMN16054335","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059274","environmental/food/other","AN0113","veterinary clinical/research",NA,NA,"2019-08-27","animal"
162," SAMN16054334","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059282","environmental/food/other","AN0089","veterinary clinical/research",NA,NA,"2019-09-02","animal"
163," SAMN16054333","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059266","environmental/food/other","AN0092","veterinary clinical/research",NA,NA,"2019-09-03","animal"
164," SAMN16054332","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059271","environmental/food/other","AN0114","veterinary clinical/research",NA,NA,"2019-08-27","animal"
165," SAMN16054331","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059276","environmental/food/other","AN0071","veterinary clinical/research",NA,NA,"2019-08-13","animal"
166," SAMN16054330","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059263","environmental/food/other","AN0102","veterinary clinical/research",NA,NA,"2019-10-11","animal"
167," SAMN16054329","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059273","environmental/food/other","AN0088","veterinary clinical/research",NA,NA,"2019-09-04","animal"
168," SAMN16054328","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE059279","environmental/food/other","AN0077","veterinary clinical/research",NA,NA,"2019-07-29","animal"
169," SAMN15777167","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057418","environmental/food/other","AN0022","veterinary clinical/research",NA,NA,"2019-07-18","animal"
170," SAMN15777166","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057415","environmental/food/other","AN0010","veterinary clinical/research",NA,NA,"2019-03-27","animal"
171," SAMN15777165","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057414","environmental/food/other","AN0008","veterinary clinical/research",NA,NA,"2019-01-16","animal"
172," SAMN15777164","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057424","environmental/food/other","AN0047","veterinary clinical/research",NA,NA,"2019-08-02","animal"
173," SAMN15777162","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057425","environmental/food/other","AN0015","veterinary clinical/research",NA,NA,"2019-07-25","animal"
174," SAMN15777160","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057422","environmental/food/other","AN0044","veterinary clinical/research",NA,NA,"2019-07-13","animal"
175," SAMN15777158","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057423","environmental/food/other","AN0045","veterinary clinical/research",NA,NA,"2019-07-22","animal"
176," SAMN15777155","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057419","environmental/food/other","AN0032","veterinary clinical/research",NA,NA,"2019-06-20","animal"
177," SAMN15777154","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057416","environmental/food/other","AN0016","veterinary clinical/research",NA,NA,"2019-07-15","animal"
178," SAMN15777153","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057426","environmental/food/other","AN0023","veterinary clinical/research",NA,NA,"2019-08-16","animal"
179," SAMN15777151","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057421","environmental/food/other","AN0038","veterinary clinical/research",NA,NA,"2019-05-11","animal"
180," SAMN15777150","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057420","environmental/food/other","AN0034","veterinary clinical/research",NA,NA,"2019-08-02","animal"
181," SAMN15777149","Escherichia coli","USA:WA","animal","feces",2018,"feces",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057417","environmental/food/other","AN0019","veterinary clinical/research",NA,NA,"2018-08-24","animal"
182," SAMN15776912","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE056844","environmental/food/other","AN0075","veterinary clinical/research",NA,NA,"2019-07-17","animal"
183," SAMN15776543","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE057360","environmental/food/other","AN0007","veterinary clinical/research",NA,NA,"2019-02-23","animal"
184," SAMN15690758","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE056698","environmental/food/other","343170-001-909","environmental-water",NA,NA,"2019-10-20","environmental"
185," SAMN15483657","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE055118","environmental/food/other","354788-002-1230","environmental-water",NA,NA,"2020-02-05","environmental"
186," SAMN15483656","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE055116","environmental/food/other","354784-002-1222","environmental-water",NA,NA,"2020-02-05","environmental"
187," SAMN15483655","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE055115","environmental/food/other","354786-001-1226","environmental-water",NA,NA,"2020-02-05","environmental"
188," SAMN15483654","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE055119","environmental/food/other","354785-003-1224","environmental-water",NA,NA,"2020-02-05","environmental"
189," SAMN15483653","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE055117","environmental/food/other","354789-001-1232","environmental-water",NA,NA,"2020-02-05","environmental"
190," SAMN15352609","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054316","environmental/food/other","354782-001-1220","environmental-water",NA,NA,"2020-02-05","environmental"
191," SAMN15344674","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054202","environmental/food/other","342381-011-855","environmental-water",NA,NA,"2019-10-14","environmental"
192," SAMN15344672","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054199","environmental/food/other","342381-009-853","environmental-water",NA,NA,"2019-10-14","environmental"
193," SAMN15344671","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054198","environmental/food/other","343066-013-868","environmental-water",NA,NA,"2019-10-21","environmental"
194," SAMN15344669","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054201","environmental/food/other","343067-008-872","environmental-water",NA,NA,"2019-10-21","environmental"
195," SAMN15344667","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE054200","environmental/food/other","343067-014-878","environmental-water",NA,NA,"2019-10-21","environmental"
196," SAMN15182323","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053641","environmental/food/other","339942-009-541","environmental-water",NA,NA,"2019-09-20","environmental"
197," SAMN15182322","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053631","environmental/food/other","GRN2A","environmental-water",NA,NA,"2018-06-20","environmental"
198," SAMN15182321","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053642","environmental/food/other","339942-010-546","environmental-water",NA,NA,"2019-09-21","environmental"
199," SAMN15182320","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053637","environmental/food/other","342381-008-852","environmental-water",NA,NA,"2019-10-14","environmental"
200," SAMN15182319","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053636","environmental/food/other","341184-011-776","environmental-water",NA,NA,"2019-10-02","environmental"
201," SAMN15182318","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053629","environmental/food/other","GRNRA2F","environmental-water",NA,NA,"2018-09-11","environmental"
202," SAMN15182317","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053634","environmental/food/other","340983-003-731","environmental-water",NA,NA,"2019-09-30","environmental"
203," SAMN15182316","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053639","environmental/food/other","338497-010-346","environmental-water",NA,NA,"2019-09-06","environmental"
204," SAMN15182315","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053640","environmental/food/other","339934-001-456","environmental-water",NA,NA,"2019-09-19","environmental"
205," SAMN15182314","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053630","environmental/food/other","335873-009-002","environmental-water",NA,NA,"2019-08-06","environmental"
206," SAMN15182313","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053638","environmental/food/other","338292-011-321","environmental-water",NA,NA,"2019-09-03","environmental"
207," SAMN15182312","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053635","environmental/food/other","340983-005-741","environmental-water",NA,NA,"2019-09-30","environmental"
208," SAMN15182311","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053628","environmental/food/other","337639-007-226","environmental-water",NA,NA,"2019-08-27","environmental"
209," SAMN15182310","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053632","environmental/food/other","340395-010-671","environmental-water",NA,NA,"2019-09-24","environmental"
210," SAMN15182309","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053627","environmental/food/other","337638-011-196","environmental-water",NA,NA,"2019-08-27","environmental"
211," SAMN15182308","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053626","environmental/food/other","338290-008-256","environmental-water",NA,NA,"2019-09-03","environmental"
212," SAMN15182307","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053633","environmental/food/other","340569-005-676","environmental-water",NA,NA,"2019-09-25","environmental"
213," SAMN15182304","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053611","environmental/food/other",NA,"environmental-water",NA,NA,"2019-10-21","environmental"
214," SAMN15182303","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053608","environmental/food/other",NA,"environmental-water",NA,NA,"2020-01-29","environmental"
215," SAMN15182302","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053606","environmental/food/other",NA,"environmental-water",NA,NA,"2020-01-29","environmental"
216," SAMN15182301","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053610","environmental/food/other",NA,"environmental-water",NA,NA,"2020-02-05","environmental"
217," SAMN15182300","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053613","environmental/food/other",NA,"environmental-water",NA,NA,"2020-02-05","environmental"
218," SAMN15182299","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE053609","environmental/food/other",NA,"environmental-water",NA,NA,"2020-02-05","environmental"
219," SAMN14891779","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052564","environmental/food/other","339933-011-436","environmental-water",NA,NA,"2019-09-18","environmental"
220," SAMN14891778","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052565","environmental/food/other","WDFW2020-007 #1","environmental-water",NA,NA,"2020-02-04","environmental"
221," SAMN14891777","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052561","environmental/food/other","339934-003-466","environmental-water",NA,NA,"2019-09-18","environmental"
222," SAMN14750856","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052014","environmental/food/other","343069-021-893","environmental-water",NA,NA,"2019-10-21","environmental"
223," SAMN14750855","Escherichia coli","USA:WA","animal","feces",2020,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052010","environmental/food/other","SKMMR2020-01-025Gut #1","veterinary clinical/research",NA,NA,"2020-02-04","animal"
224," SAMN14750854","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052013","environmental/food/other","343070-005-898","environmental-water",NA,NA,"2019-10-21","environmental"
225," SAMN14750852","Escherichia coli","USA:WA","animal","feces",2019,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052012","environmental/food/other","EPADockG#1","veterinary clinical/research",NA,NA,"2019-11-19","animal"
226," SAMN14750012","Escherichia coli","USA:WA","animal","feces",2018,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052008","environmental/food/other","GRNRA2F","veterinary clinical/research",NA,NA,"2018-09-11","animal"
227," SAMN14750011","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051998","environmental/food/other","GRN1A","environmental-water",NA,NA,"2018-06-20","environmental"
228," SAMN14750010","Escherichia coli","USA:WA","animal","tissue",2019,"tissue",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052009","environmental/food/other","GG12-2","veterinary clinical/research",NA,NA,"2019-06-27","animal"
229," SAMN14750009","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052004","environmental/food/other","GRNRA2B","environmental-water",NA,NA,"2018-09-11","environmental"
230," SAMN14749996","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052006","environmental/food/other","GRN2B","environmental-water",NA,NA,"2018-06-20","environmental"
231," SAMN14749995","Escherichia coli","USA:WA","animal","feces",2018,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051999","environmental/food/other","GRN2A","veterinary clinical/research",NA,NA,"2018-06-20","animal"
232," SAMN14749994","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052001","environmental/food/other","GRNRA4F","environmental-water",NA,NA,"2018-09-11","environmental"
233," SAMN14749993","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052002","environmental/food/other","HAM5E","environmental-water",NA,NA,"2018-05-04","environmental"
234," SAMN14749992","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052007","environmental/food/other","HAM6D","environmental-water",NA,NA,"2018-05-04","environmental"
235," SAMN14749989","Escherichia coli","USA:WA","environmental","water",2018,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052000","environmental/food/other","HAM1D","environmental-water",NA,NA,"2018-05-04","environmental"
236," SAMN14749988","Escherichia coli","USA:WA","animal","feces",2018,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052003","environmental/food/other","GRNRA4B","veterinary clinical/research",NA,NA,"2018-09-11","animal"
237," SAMN14749987","Escherichia coli","USA:WA","animal","feces",2020,"feces",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE052005","environmental/food/other","SKMMR2020-01-025 Fecal #1","veterinary clinical/research",NA,NA,"2020-02-04","animal"
238," SAMN14593722","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051647","environmental/food/other","343067-002-870","environmental-water",NA,NA,"2019-10-21","environmental"
239," SAMN14593721","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051646","environmental/food/other","343066-014-869","environmental-water",NA,NA,"2019-10-21","environmental"
240," SAMN14593720","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051650","environmental/food/other","343171-008-918","environmental-water",NA,NA,"2019-10-22","environmental"
241," SAMN14593719","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051648","environmental/food/other","343171-001-911","environmental-water",NA,NA,"2019-10-22","environmental"
242," SAMN14593718","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051651","environmental/food/other","343171-009-919","environmental-water",NA,NA,"2019-10-22","environmental"
243," SAMN14593717","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051649","environmental/food/other","343171-003-913","environmental-water",NA,NA,"2019-10-22","environmental"
244," SAMN14593716","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE051652","environmental/food/other","343171-010-920","environmental-water",NA,NA,"2019-10-22","environmental"
245," SAMN14544546","Escherichia coli","USA:WA","animal","urine (Canis lupus familaris)",2019,"urine (Canis lupus familaris)",NA,"CFSAN105108","PRJNA481346",NA,"Washington State University",NA,"ECOL-19-VL-WA-NY-0043","environmental/food/other","CFSAN105108","veterinary clinical/research| companion animal",NA,NA,"2019-11","animal"
246," SAMN14316687","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049796","environmental/food/other","340395-006-661","environmental-water",NA,NA,"2019-09-18","environmental"
247," SAMN14316686","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049797","environmental/food/other","340395-007-666","environmental-water",NA,NA,"2019-09-18","environmental"
248," SAMN14316685","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049800","environmental/food/other","342381-004-848","environmental-water",NA,NA,"2019-10-14","environmental"
249," SAMN14316684","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049799","environmental/food/other","342381-003-847","environmental-water",NA,NA,"2019-10-14","environmental"
250," SAMN14316633","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049802","environmental/food/other","342381-006-850","environmental-water",NA,NA,"2019-10-14","environmental"
251," SAMN14316629","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049806","environmental/food/other","343066-002-859","environmental-water",NA,NA,"2019-10-21","environmental"
252," SAMN14316627","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049805","environmental/food/other","342381-013-857","environmental-water",NA,NA,"2019-10-14","environmental"
253," SAMN14316625","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049804","environmental/food/other","342381-012-856","environmental-water",NA,NA,"2019-10-14","environmental"
254," SAMN14316624","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049803","environmental/food/other","342381-007-851","environmental-water",NA,NA,"2019-10-14","environmental"
255," SAMN14316622","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049801","environmental/food/other","342381-005-849","environmental-water",NA,NA,"2019-10-14","environmental"
256," SAMN14316621","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049794","environmental/food/other","339942-008-536","environmental-water",NA,NA,"2019-09-18","environmental"
257," SAMN14316619","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049810","environmental/food/other","343066-008-863","environmental-water",NA,NA,"2019-10-21","environmental"
258," SAMN14316618","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049809","environmental/food/other","343066-007-862","environmental-water",NA,NA,"2019-10-21","environmental"
259," SAMN14316590","Escherichia coli","USA:WA","environmental","water",2019,"water",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE049795","environmental/food/other","340395-003-656","environmental-water",NA,NA,"2019-09-24","environmental"
